Asthma and the Environment,neighborhood,% reported
Asthma and the Environment,Pelham - Throgs Neck,58.1
Asthma and the Environment,Crotona -Tremont,127.4
Asthma and the Environment,High Bridge - Morrisania,113.1
Asthma and the Environment,Hunts Point - Mott Haven,119.1
Asthma and the Environment,Greenpoint,26.9
Asthma and the Environment,Downtown - Heights - Slope,43.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,105.4
Asthma and the Environment,East New York,95
Asthma and the Environment,Sunset Park,39.1
Asthma and the Environment,Borough Park,15.4
Asthma and the Environment,East Flatbush - Flatbush,65.9
Asthma and the Environment,Canarsie - Flatlands,49.8
Asthma and the Environment,Bensonhurst - Bay Ridge,13.7
Asthma and the Environment,Coney Island - Sheepshead Bay,24
Asthma and the Environment,Williamsburg - Bushwick,113.7
Asthma and the Environment,Washington Heights,41.7
Asthma and the Environment,Central Harlem - Morningside Heights,130.4
Asthma and the Environment,East Harlem,135.2
Asthma and the Environment,Upper West Side,24.1
Asthma and the Environment,Upper East Side,9.3
Asthma and the Environment,Chelsea - Clinton,24.6
Asthma and the Environment,Gramercy Park - Murray Hill,19.6
Asthma and the Environment,Greenwich Village - SoHo,8.9
Asthma and the Environment,Union Square - Lower East Side,42.5
Asthma and the Environment,Lower Manhattan,27
Asthma and the Environment,Long Island City - Astoria,27.1
Asthma and the Environment,West Queens,16.1
Asthma and the Environment,Flushing - Clearview,10.5
Asthma and the Environment,Bayside - Little Neck,7.8
Asthma and the Environment,Ridgewood - Forest Hills,16.6
Asthma and the Environment,Fresh Meadows,20.7
Asthma and the Environment,Southwest Queens,35
Asthma and the Environment,Jamaica,54.1
Asthma and the Environment,Southeast Queens,35.5
Asthma and the Environment,Rockaways,59.7
Asthma and the Environment,Port Richmond,84.7
Asthma and the Environment,Stapleton - St. George,58.1
Asthma and the Environment,Willowbrook,22.3
Asthma and the Environment,South Beach - Tottenville,15.9
Asthma and the Environment,Kingsbridge - Riverdale,34.4
Asthma and the Environment,Northeast Bronx,81.9
Asthma and the Environment,Fordham - Bronx Pk,99.5
Asthma and the Environment,Pelham - Throgs Neck,78
Asthma and the Environment,Crotona -Tremont,138.1
Asthma and the Environment,High Bridge - Morrisania,134.5
Asthma and the Environment,Hunts Point - Mott Haven,146.8
Asthma and the Environment,Greenpoint,32.1
Asthma and the Environment,Downtown - Heights - Slope,42.9
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,124.3
Asthma and the Environment,East New York,115.2
Asthma and the Environment,Sunset Park,33.1
Asthma and the Environment,Borough Park,15.1
Asthma and the Environment,East Flatbush - Flatbush,67.6
Asthma and the Environment,Canarsie - Flatlands,52.2
Asthma and the Environment,Bensonhurst - Bay Ridge,14.5
Asthma and the Environment,Coney Island - Sheepshead Bay,26.8
Asthma and the Environment,Williamsburg - Bushwick,120.8
Asthma and the Environment,Washington Heights,47.2
Asthma and the Environment,Central Harlem - Morningside Heights,136.2
Asthma and the Environment,East Harlem,154.9
Asthma and the Environment,Upper West Side,26.9
Asthma and the Environment,Upper East Side,8.8
Asthma and the Environment,Chelsea - Clinton,28.6
Asthma and the Environment,Gramercy Park - Murray Hill,22.5
Asthma and the Environment,Greenwich Village - SoHo,7.7
Asthma and the Environment,Union Square - Lower East Side,40.9
Asthma and the Environment,Lower Manhattan,24.6
Asthma and the Environment,Long Island City - Astoria,31.2
Asthma and the Environment,West Queens,18.1
Asthma and the Environment,Flushing - Clearview,13.5
Asthma and the Environment,Bayside - Little Neck,9.8
Asthma and the Environment,Ridgewood - Forest Hills,19.5
Asthma and the Environment,Fresh Meadows,25.6
Asthma and the Environment,Southwest Queens,33.9
Asthma and the Environment,Jamaica,61.5
Asthma and the Environment,Southeast Queens,35.8
Asthma and the Environment,Rockaways,72.6
Asthma and the Environment,Port Richmond,74.4
Asthma and the Environment,Stapleton - St. George,59.3
Asthma and the Environment,Willowbrook,21.6
Asthma and the Environment,South Beach - Tottenville,18.6
Asthma and the Environment,Kingsbridge - Riverdale,36.2
Asthma and the Environment,Northeast Bronx,66.9
Asthma and the Environment,Fordham - Bronx Pk,85.5
Asthma and the Environment,Pelham - Throgs Neck,60.2
Asthma and the Environment,Crotona -Tremont,112
Asthma and the Environment,High Bridge - Morrisania,124.9
Asthma and the Environment,Hunts Point - Mott Haven,130.1
Asthma and the Environment,Greenpoint,27.6
Asthma and the Environment,Downtown - Heights - Slope,34.3
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,100.2
Asthma and the Environment,East New York,107.8
Asthma and the Environment,Sunset Park,26.9
Asthma and the Environment,Borough Park,14.2
Asthma and the Environment,East Flatbush - Flatbush,62.8
Asthma and the Environment,Canarsie - Flatlands,48.5
Asthma and the Environment,Bensonhurst - Bay Ridge,12.8
Asthma and the Environment,Coney Island - Sheepshead Bay,27.7
Asthma and the Environment,Williamsburg - Bushwick,96.7
Asthma and the Environment,Washington Heights,42.6
Asthma and the Environment,Central Harlem - Morningside Heights,121.4
Asthma and the Environment,East Harlem,141.5
Asthma and the Environment,Upper West Side,30.6
Asthma and the Environment,Upper East Side,8.6
Asthma and the Environment,Chelsea - Clinton,27.3
Asthma and the Environment,Gramercy Park - Murray Hill,21.5
Asthma and the Environment,Greenwich Village - SoHo,8.6
Asthma and the Environment,Union Square - Lower East Side,40.7
Asthma and the Environment,Lower Manhattan,28.9
Asthma and the Environment,Long Island City - Astoria,28.7
Asthma and the Environment,West Queens,20.7
Asthma and the Environment,Flushing - Clearview,11.9
Asthma and the Environment,Bayside - Little Neck,7
Asthma and the Environment,Ridgewood - Forest Hills,18.4
Asthma and the Environment,Fresh Meadows,20.5
Asthma and the Environment,Southwest Queens,28.3
Asthma and the Environment,Jamaica,49
Asthma and the Environment,Southeast Queens,28.9
Asthma and the Environment,Rockaways,63
Asthma and the Environment,Port Richmond,74.6
Asthma and the Environment,Stapleton - St. George,53.8
Asthma and the Environment,Willowbrook,21.4
Asthma and the Environment,South Beach - Tottenville,13.9
Asthma and the Environment,Kingsbridge - Riverdale,6.3
Asthma and the Environment,Northeast Bronx,9
Asthma and the Environment,Fordham - Bronx Pk,14.4
Asthma and the Environment,Pelham - Throgs Neck,10.2
Asthma and the Environment,Crotona -Tremont,18.9
Asthma and the Environment,High Bridge - Morrisania,18.5
Asthma and the Environment,Hunts Point - Mott Haven,19.4
Asthma and the Environment,Greenpoint,5.8
Asthma and the Environment,Downtown - Heights - Slope,7.9
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,15.1
Asthma and the Environment,East New York,12.1
Asthma and the Environment,Sunset Park,6.4
Asthma and the Environment,Borough Park,3.3
Asthma and the Environment,East Flatbush - Flatbush,7.2
Asthma and the Environment,Canarsie - Flatlands,5.8
Asthma and the Environment,Bensonhurst - Bay Ridge,2.7
Asthma and the Environment,Coney Island - Sheepshead Bay,5.9
Asthma and the Environment,Williamsburg - Bushwick,19.8
Asthma and the Environment,Washington Heights,6.6
Asthma and the Environment,Central Harlem - Morningside Heights,13.1
Asthma and the Environment,East Harlem,19.5
Asthma and the Environment,Upper West Side,3.2
Asthma and the Environment,Upper East Side,1.4
Asthma and the Environment,Chelsea - Clinton,4.2
Asthma and the Environment,Gramercy Park - Murray Hill,3.2
Asthma and the Environment,Greenwich Village - SoHo,1.3
Asthma and the Environment,Union Square - Lower East Side,6.2
Asthma and the Environment,Lower Manhattan,3.6
Asthma and the Environment,Long Island City - Astoria,3.7
Asthma and the Environment,West Queens,3.2
Asthma and the Environment,Flushing - Clearview,2.2
Asthma and the Environment,Bayside - Little Neck,1.8
Asthma and the Environment,Ridgewood - Forest Hills,4.2
Asthma and the Environment,Fresh Meadows,4.1
Asthma and the Environment,Southwest Queens,4.2
Asthma and the Environment,Jamaica,7.9
Asthma and the Environment,Southeast Queens,4.8
Asthma and the Environment,Rockaways,9.4
Asthma and the Environment,Port Richmond,8
Asthma and the Environment,Stapleton - St. George,6.1
Asthma and the Environment,Willowbrook,3.8
Asthma and the Environment,South Beach - Tottenville,3.3
Asthma and the Environment,Kingsbridge - Riverdale,7.5
Asthma and the Environment,Northeast Bronx,9.8
Asthma and the Environment,Fordham - Bronx Pk,14.4
Asthma and the Environment,Pelham - Throgs Neck,11.7
Asthma and the Environment,Crotona -Tremont,18.9
Asthma and the Environment,High Bridge - Morrisania,16.4
Asthma and the Environment,Hunts Point - Mott Haven,16
Asthma and the Environment,Greenpoint,3.5
Asthma and the Environment,Downtown - Heights - Slope,6.6
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,13.5
Asthma and the Environment,East New York,11.5
Asthma and the Environment,Sunset Park,6.5
Asthma and the Environment,Borough Park,3.8
Asthma and the Environment,East Flatbush - Flatbush,7.3
Asthma and the Environment,Canarsie - Flatlands,7.1
Asthma and the Environment,Bensonhurst - Bay Ridge,2.9
Asthma and the Environment,Coney Island - Sheepshead Bay,6
Asthma and the Environment,Williamsburg - Bushwick,13.6
Asthma and the Environment,Washington Heights,5.8
Asthma and the Environment,Central Harlem - Morningside Heights,10.3
Asthma and the Environment,East Harlem,17.4
Asthma and the Environment,Upper West Side,2.8
Asthma and the Environment,Upper East Side,1.4
Asthma and the Environment,Chelsea - Clinton,2.8
Asthma and the Environment,Gramercy Park - Murray Hill,2.1
Asthma and the Environment,Greenwich Village - SoHo,1
Asthma and the Environment,Union Square - Lower East Side,5.6
Asthma and the Environment,Lower Manhattan,2.6
Asthma and the Environment,Long Island City - Astoria,4.1
Asthma and the Environment,West Queens,3
Asthma and the Environment,Flushing - Clearview,2.6
Asthma and the Environment,Bayside - Little Neck,2.2
Asthma and the Environment,Ridgewood - Forest Hills,3.4
Asthma and the Environment,Fresh Meadows,3.7
Asthma and the Environment,Southwest Queens,4.1
Asthma and the Environment,Jamaica,7.5
Asthma and the Environment,Southeast Queens,5
Asthma and the Environment,Rockaways,9
Asthma and the Environment,Port Richmond,12.1
Asthma and the Environment,Stapleton - St. George,9.5
Asthma and the Environment,Willowbrook,4.7
Asthma and the Environment,South Beach - Tottenville,4.2
Asthma and the Environment,Kingsbridge - Riverdale,5.8
Asthma and the Environment,Northeast Bronx,10.3
Asthma and the Environment,Fordham - Bronx Pk,15
Asthma and the Environment,Pelham - Throgs Neck,10.5
Asthma and the Environment,Crotona -Tremont,15.8
Asthma and the Environment,High Bridge - Morrisania,16.1
Asthma and the Environment,Hunts Point - Mott Haven,19.4
Asthma and the Environment,Greenpoint,3.6
Asthma and the Environment,Downtown - Heights - Slope,5.2
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,12.4
Asthma and the Environment,East New York,11.7
Asthma and the Environment,Sunset Park,5.2
Asthma and the Environment,Borough Park,2.6
Asthma and the Environment,East Flatbush - Flatbush,7.2
Asthma and the Environment,Canarsie - Flatlands,6.5
Asthma and the Environment,Bensonhurst - Bay Ridge,2.7
Asthma and the Environment,Coney Island - Sheepshead Bay,5.7
Asthma and the Environment,Williamsburg - Bushwick,12.9
Asthma and the Environment,Washington Heights,5.5
Asthma and the Environment,Central Harlem - Morningside Heights,11.7
Asthma and the Environment,East Harlem,14.2
Asthma and the Environment,Upper West Side,3.1
Asthma and the Environment,Upper East Side,1.3
Asthma and the Environment,Chelsea - Clinton,3.4
Asthma and the Environment,Gramercy Park - Murray Hill,1.7
Asthma and the Environment,Greenwich Village - SoHo,0.9
Asthma and the Environment,Union Square - Lower East Side,5.5
Asthma and the Environment,Lower Manhattan,2.7
Asthma and the Environment,Long Island City - Astoria,4.3
Asthma and the Environment,West Queens,3.4
Asthma and the Environment,Flushing - Clearview,2.6
Asthma and the Environment,Bayside - Little Neck,2
Asthma and the Environment,Ridgewood - Forest Hills,3.6
Asthma and the Environment,Fresh Meadows,3.3
Asthma and the Environment,Southwest Queens,4.1
Asthma and the Environment,Jamaica,5.9
Asthma and the Environment,Southeast Queens,3.9
Asthma and the Environment,Rockaways,7.6
Asthma and the Environment,Port Richmond,9.8
Asthma and the Environment,Stapleton - St. George,8.6
Asthma and the Environment,Willowbrook,3.6
Asthma and the Environment,South Beach - Tottenville,3.8
Asthma and the Environment,Kingsbridge - Riverdale,4
Asthma and the Environment,Northeast Bronx,6.6
Asthma and the Environment,Fordham - Bronx Pk,10
Asthma and the Environment,Pelham - Throgs Neck,7
Asthma and the Environment,Crotona -Tremont,9.8
Asthma and the Environment,High Bridge - Morrisania,12
Asthma and the Environment,Hunts Point - Mott Haven,14.2
Asthma and the Environment,Greenpoint,1
Asthma and the Environment,Downtown - Heights - Slope,2.3
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,5.4
Asthma and the Environment,East New York,5
Asthma and the Environment,Sunset Park,2.9
Asthma and the Environment,Borough Park,1.6
Asthma and the Environment,East Flatbush - Flatbush,3.8
Asthma and the Environment,Canarsie - Flatlands,2.9
Asthma and the Environment,Bensonhurst - Bay Ridge,1.4
Asthma and the Environment,Coney Island - Sheepshead Bay,2.8
Asthma and the Environment,Williamsburg - Bushwick,4.6
Asthma and the Environment,Washington Heights,3.6
Asthma and the Environment,Central Harlem - Morningside Heights,6.1
Asthma and the Environment,East Harlem,9.1
